"GeneID" "Length"
"165" "Bra000165" 345
"166" "Bra000166" 1629
"167" "Bra000167" 774
"168" "Bra000168" 1821
"169" "Bra000169" 2781
"170" "Bra000170" 396
"171" "Bra000171" 1254
"172" "Bra000172" 1242
"173" "Bra000173" 267
"174" "Bra000174" 1098
"175" "Bra000175" 1395
"176" "Bra000176" 1548
"177" "Bra000177" 702
"178" "Bra000178" 1011
"179" "Bra000179" 1293
"180" "Bra000180" 1170
"181" "Bra000181" 1755
"182" "Bra000182" 1029
"183" "Bra000183" 1212
"184" "Bra000184" 639
"185" "Bra000185" 624
"186" "Bra000186" 630
"187" "Bra000187" 1755
"188" "Bra000188" 600
"189" "Bra000189" 258
"190" "Bra000190" 1425
"191" "Bra000191" 306
"192" "Bra000192" 783
"193" "Bra000193" 390
"194" "Bra000194" 774
"195" "Bra000195" 1005
"196" "Bra000196" 1329
"197" "Bra000197" 1029
"198" "Bra000198" 1059
"199" "Bra000199" 486
"200" "Bra000200" 2553
"201" "Bra000201" 2394
"202" "Bra000202" 903
"203" "Bra000203" 1023
"204" "Bra000204" 177
"205" "Bra000205" 1002
"206" "Bra000206" 1017
"207" "Bra000207" 954
"208" "Bra000208" 1590
"209" "Bra000209" 1968
"210" "Bra000210" 285
"211" "Bra000211" 1527
"212" "Bra000212" 1182
"213" "Bra000213" 2124
"214" "Bra000214" 450
"215" "Bra000215" 1704
"216" "Bra000216" 426
"217" "Bra000217" 1563
"218" "Bra000218" 486
"219" "Bra000219" 2322
"220" "Bra000220" 4761
"221" "Bra000221" 204
"222" "Bra000222" 1038
"223" "Bra000223" 1110
"224" "Bra000224" 651
"225" "Bra000225" 1206
"226" "Bra000226" 897
"227" "Bra000227" 375
"228" "Bra000228" 984
"229" "Bra000229" 1323
"230" "Bra000230" 855
"231" "Bra000231" 978
"232" "Bra000232" 939
"233" "Bra000233" 873
"234" "Bra000234" 1536
"235" "Bra000235" 720
"236" "Bra000236" 5529
"237" "Bra000237" 1392
"238" "Bra000238" 2838
"239" "Bra000239" 645
"240" "Bra000240" 2301
"241" "Bra000241" 708
"242" "Bra000242" 849
"243" "Bra000243" 387
"244" "Bra000244" 186
"245" "Bra000245" 747
"246" "Bra000246" 474
"247" "Bra000247" 2184
"248" "Bra000248" 1095
"249" "Bra000249" 924
"250" "Bra000250" 1005
"251" "Bra000251" 807
"252" "Bra000252" 819
"253" "Bra000253" 837
"254" "Bra000254" 723
"255" "Bra000255" 201
"256" "Bra000256" 1089
"257" "Bra000257" 717
"258" "Bra000258" 924
"259" "Bra000259" 861
"260" "Bra000260" 2367
"261" "Bra000261" 2394
"262" "Bra000262" 990
"263" "Bra000263" 429
"264" "Bra000264" 222
"265" "Bra000265" 390
"266" "Bra000266" 534
"267" "Bra000267" 2019
"268" "Bra000268" 789
"269" "Bra000269" 534
"270" "Bra000270" 867
"271" "Bra000271" 648
"272" "Bra000272" 429
"273" "Bra000273" 270
"274" "Bra000274" 1221
"275" "Bra000275" 186
"276" "Bra000276" 351
"277" "Bra000277" 1938
"278" "Bra000278" 1167
"279" "Bra000279" 2364
"280" "Bra000280" 1017
"281" "Bra000281" 786
"282" "Bra000282" 819
"283" "Bra000283" 1242
"284" "Bra000284" 1443
"285" "Bra000285" 801
"286" "Bra000286" 2064
"287" "Bra000287" 351
"288" "Bra000288" 615
"289" "Bra000289" 888
"290" "Bra000290" 642
"291" "Bra000291" 612
"292" "Bra000292" 2724
"293" "Bra000293" 2847
"294" "Bra000294" 1437
"295" "Bra000295" 1185
"296" "Bra000296" 1650
"297" "Bra000297" 1290
"298" "Bra000298" 1284
"299" "Bra000299" 219
"300" "Bra000300" 1134
"301" "Bra000301" 543
"302" "Bra000302" 594
"303" "Bra000303" 1143
"304" "Bra000304" 966
"305" "Bra000305" 861
"306" "Bra000306" 564
"307" "Bra000307" 2730
"308" "Bra000308" 3075
"309" "Bra000309" 279
"310" "Bra000310" 849
"311" "Bra000311" 807
"312" "Bra000312" 843
"313" "Bra000313" 366
"314" "Bra000314" 780
"315" "Bra000315" 837
"316" "Bra000316" 330
"317" "Bra000317" 1959
"318" "Bra000318" 1788
"319" "Bra000319" 1968
"320" "Bra000320" 1980
"321" "Bra000321" 1197
"322" "Bra000322" 651
"323" "Bra000323" 522
"324" "Bra000324" 687
"325" "Bra000325" 204
"326" "Bra000326" 1188
"327" "Bra000327" 1425
"328" "Bra000328" 2688
"329" "Bra000329" 1344
"330" "Bra000330" 1350
"331" "Bra000331" 1230
"332" "Bra000332" 1158
"333" "Bra000333" 3882
"334" "Bra000334" 846
"335" "Bra000335" 999
"336" "Bra000336" 1806
"337" "Bra000337" 624
"338" "Bra000338" 1047
"339" "Bra000339" 2334
"340" "Bra000340" 414
"341" "Bra000341" 591
"342" "Bra000342" 1206
"343" "Bra000343" 1089
"344" "Bra000344" 1323
"345" "Bra000345" 1179
"346" "Bra000346" 1320
"347" "Bra000347" 1251
"348" "Bra000348" 2313
"349" "Bra000349" 429
"350" "Bra000350" 534
"351" "Bra000351" 1335
"352" "Bra000352" 729
"353" "Bra000353" 1596
"354" "Bra000354" 1431
"355" "Bra000355" 627
"356" "Bra000356" 363
"357" "Bra000357" 1386
"358" "Bra000358" 285
"359" "Bra000359" 828
"360" "Bra000360" 1071
"361" "Bra000361" 600
"362" "Bra000362" 633
"363" "Bra000363" 774
"364" "Bra000364" 588
"365" "Bra000365" 2409
"366" "Bra000366" 834
"367" "Bra000367" 828
"368" "Bra000368" 249
"369" "Bra000369" 675
"370" "Bra000370" 780
"371" "Bra000371" 2217
"372" "Bra000372" 933
"373" "Bra000373" 741
"374" "Bra000374" 1899
"375" "Bra000375" 1824
"376" "Bra000376" 369
"377" "Bra000377" 396
"378" "Bra000378" 678
"379" "Bra000379" 705
"380" "Bra000380" 486
"381" "Bra000381" 189
"382" "Bra000382" 1533
"383" "Bra000383" 1245
"384" "Bra000384" 1545
"385" "Bra000385" 1308
"386" "Bra000386" 1188
"387" "Bra000387" 1356
"388" "Bra000388" 933
"389" "Bra000389" 171
"390" "Bra000390" 1539
"391" "Bra000391" 1539
"392" "Bra000392" 774
"393" "Bra000393" 642
"394" "Bra000394" 1584
"395" "Bra000395" 936
"396" "Bra000396" 1095
"397" "Bra000397" 300
"398" "Bra000398" 255
"399" "Bra000399" 1635
"400" "Bra000400" 1317
"401" "Bra000401" 717
"402" "Bra000402" 609
"403" "Bra000403" 741
"404" "Bra000404" 681
"405" "Bra000405" 1158
"406" "Bra000406" 1089
"407" "Bra000407" 981
"408" "Bra000408" 618
"409" "Bra000409" 6489
"410" "Bra000410" 564
"411" "Bra000411" 474
"412" "Bra000412" 852
"413" "Bra000413" 720
"414" "Bra000414" 501
"415" "Bra000415" 597
"416" "Bra000416" 915
"417" "Bra000417" 1653
"418" "Bra000418" 696
"419" "Bra000419" 222
"420" "Bra000420" 2862
"421" "Bra000421" 1830
"422" "Bra000422" 405
"423" "Bra000423" 846
"424" "Bra000424" 1290
"425" "Bra000425" 852
"426" "Bra000426" 399
"427" "Bra000427" 1479
"428" "Bra000428" 420
"429" "Bra000429" 1110
"430" "Bra000430" 357
"431" "Bra000431" 354
"432" "Bra000432" 1158
"433" "Bra000433" 1914
"434" "Bra000434" 933
"435" "Bra000435" 771
"436" "Bra000436" 1215
"437" "Bra000437" 651
"438" "Bra000438" 1791
"439" "Bra000439" 651
"440" "Bra000440" 1239
"441" "Bra000441" 822
"442" "Bra000442" 2112
"443" "Bra000443" 579
"444" "Bra000444" 1590
"445" "Bra000445" 2172
"446" "Bra000446" 846
"447" "Bra000447" 2022
"448" "Bra000448" 1359
"449" "Bra000449" 921
"450" "Bra000450" 195
"451" "Bra000451" 381
"452" "Bra000452" 1029
"453" "Bra000453" 1131
"454" "Bra000454" 1089
"455" "Bra000455" 819
"456" "Bra000456" 2523
"457" "Bra000457" 1317
"458" "Bra000458" 489
"459" "Bra000459" 270
"460" "Bra000460" 648
"461" "Bra000461" 2058
"462" "Bra000462" 471
"463" "Bra000463" 2124
"464" "Bra000464" 1395
"465" "Bra000465" 1218
"466" "Bra000466" 1215
"467" "Bra000467" 426
"468" "Bra000468" 417
"469" "Bra000469" 4215
"470" "Bra000470" 696
"471" "Bra000471" 897
"472" "Bra000472" 438
"473" "Bra000473" 3396
"474" "Bra000474" 675
"475" "Bra000475" 957
"476" "Bra000476" 789
"477" "Bra000477" 789
"478" "Bra000478" 1443
"479" "Bra000479" 423
"480" "Bra000480" 1482
"481" "Bra000481" 312
"482" "Bra000482" 306
"483" "Bra000483" 468
"484" "Bra000484" 681
"485" "Bra000485" 723
"486" "Bra000486" 1029
"487" "Bra000487" 1254
"488" "Bra000488" 1128
"489" "Bra000489" 1098
"490" "Bra000490" 2868
"491" "Bra000491" 696
"492" "Bra000492" 1065
"493" "Bra000493" 2535
"494" "Bra000494" 1746
"495" "Bra000495" 927
"496" "Bra000496" 507
"497" "Bra000497" 375
"498" "Bra000498" 1608
"499" "Bra000499" 1998
"500" "Bra000500" 1500
"501" "Bra000501" 345
"502" "Bra000502" 828
"503" "Bra000503" 1302
"504" "Bra000504" 816
"505" "Bra000505" 498
"506" "Bra000506" 528
"507" "Bra000507" 465
"508" "Bra000508" 1173
"509" "Bra000509" 690
"510" "Bra000510" 672
"511" "Bra000511" 1194
"512" "Bra000512" 411
"513" "Bra000513" 399
"514" "Bra000514" 1737
"515" "Bra000515" 666
"516" "Bra000516" 405
"517" "Bra000517" 1827
"518" "Bra000518" 543
"519" "Bra000519" 687
"520" "Bra000520" 1572
"521" "Bra000521" 450
"522" "Bra000522" 3294
"523" "Bra000523" 693
"524" "Bra000524" 1833
"525" "Bra000525" 612
"526" "Bra000526" 771
"527" "Bra000527" 504
"528" "Bra000528" 1716
"529" "Bra000529" 1320
"530" "Bra000530" 225
"531" "Bra000531" 1308
"532" "Bra000532" 624
"533" "Bra000533" 738
"534" "Bra000534" 1314
"535" "Bra000535" 3696
"536" "Bra000536" 1137
"537" "Bra000537" 915
"538" "Bra000538" 495
"539" "Bra000539" 846
"540" "Bra000540" 1641
"541" "Bra000541" 1812
"542" "Bra000542" 1347
"543" "Bra000543" 1542
"544" "Bra000544" 915
"545" "Bra000545" 1380
"546" "Bra000546" 1227
"547" "Bra000547" 1626
"548" "Bra000548" 1320
"549" "Bra000549" 2298
"550" "Bra000550" 1848
"551" "Bra000551" 768
"552" "Bra000552" 2532
"553" "Bra000553" 1389
"554" "Bra000554" 1623
"555" "Bra000555" 2871
"556" "Bra000556" 1215
"557" "Bra000557" 1047
"558" "Bra000558" 1596
"559" "Bra000559" 1179
"560" "Bra000560" 1167
"561" "Bra000561" 4368
"562" "Bra000562" 624
"563" "Bra000563" 2883
"564" "Bra000564" 3048
"565" "Bra000565" 2010
"566" "Bra000566" 843
"567" "Bra000567" 714
"568" "Bra000568" 1788
"569" "Bra000569" 498
"570" "Bra000570" 1056
"571" "Bra000571" 813
"572" "Bra000572" 1500
"573" "Bra000573" 1536
"574" "Bra000574" 237
"575" "Bra000575" 1557
"576" "Bra000576" 768
"577" "Bra000577" 1929
"578" "Bra000578" 1218
"579" "Bra000579" 354
"580" "Bra000580" 243
"581" "Bra000581" 1359
"582" "Bra000582" 822
"583" "Bra000583" 1548
"584" "Bra000584" 1452
"585" "Bra000585" 1194
"586" "Bra000586" 1944
"587" "Bra000587" 1632
"588" "Bra000588" 858
"589" "Bra000589" 921
"590" "Bra000590" 261
"591" "Bra000591" 1215
"592" "Bra000592" 2481
"593" "Bra000593" 792
"594" "Bra000594" 1866
"595" "Bra000595" 1401
"596" "Bra000596" 2328
"597" "Bra000597" 1149
"598" "Bra000598" 2757
"599" "Bra000599" 798
"600" "Bra000600" 3279
"601" "Bra000601" 681
"602" "Bra000602" 1410
"603" "Bra000603" 1368
"604" "Bra000604" 1824
"605" "Bra000605" 1155
"606" "Bra000606" 1227
"607" "Bra000607" 1191
"608" "Bra000608" 216
"609" "Bra000609" 474
"610" "Bra000610" 618
"611" "Bra000611" 1170
"612" "Bra000612" 1056
"613" "Bra000613" 621
"614" "Bra000614" 804
"615" "Bra000615" 1086
"616" "Bra000616" 2157
"617" "Bra000617" 2862
"618" "Bra000618" 2991
"619" "Bra000619" 1698
"620" "Bra000620" 1209
"621" "Bra000621" 1776
"622" "Bra000622" 1437
"623" "Bra000623" 738
"624" "Bra000624" 216
"625" "Bra000625" 837
"626" "Bra000626" 1026
"627" "Bra000627" 210
"628" "Bra000628" 1080
"629" "Bra000629" 489
"630" "Bra000630" 789
"631" "Bra000631" 786
"632" "Bra000632" 708
"633" "Bra000633" 1179
"634" "Bra000634" 2406
"635" "Bra000635" 2079
"636" "Bra000636" 714
"637" "Bra000637" 1395
"638" "Bra000638" 1164
"639" "Bra000639" 2352
"640" "Bra000640" 963
"641" "Bra000641" 3126
"642" "Bra000642" 399
"643" "Bra000643" 339
"644" "Bra000644" 2061
"645" "Bra000645" 1212
"646" "Bra000646" 900
"647" "Bra000647" 1626
"648" "Bra000648" 792
"649" "Bra000649" 1440
"650" "Bra000650" 1704
"651" "Bra000651" 222
"652" "Bra000652" 552
"653" "Bra000653" 1125
"654" "Bra000654" 480
"655" "Bra000655" 930
"656" "Bra000656" 1671
"657" "Bra000657" 3087
"658" "Bra000658" 1083
"659" "Bra000659" 1026
"660" "Bra000660" 945
"661" "Bra000661" 1194
"662" "Bra000662" 957
"663" "Bra000663" 1047
"664" "Bra000664" 1089
"665" "Bra000665" 1104
"666" "Bra000666" 273
"667" "Bra000667" 2163
"668" "Bra000668" 999
"669" "Bra000669" 441
"670" "Bra000670" 381
"671" "Bra000671" 702
"672" "Bra000672" 1038
"673" "Bra000673" 1020
"674" "Bra000674" 2250
"675" "Bra000675" 933
"676" "Bra000676" 369
"677" "Bra000677" 1059
"678" "Bra000678" 1179
"679" "Bra000679" 1347
"680" "Bra000680" 675
"681" "Bra000681" 1584
"682" "Bra000682" 297
"683" "Bra000683" 1299
"684" "Bra000684" 1503
"685" "Bra000685" 633
"686" "Bra000686" 2325
"687" "Bra000687" 705
"688" "Bra000688" 1089
"689" "Bra000689" 621
"690" "Bra000690" 1863
"691" "Bra000691" 1791
"692" "Bra000692" 459
"693" "Bra000693" 1005
"694" "Bra000694" 573
"695" "Bra000695" 411
"696" "Bra000696" 696
"697" "Bra000697" 1344
"698" "Bra000698" 1155
"699" "Bra000699" 339
"700" "Bra000700" 1038
"701" "Bra000701" 774
"702" "Bra000702" 1614
"703" "Bra000703" 594
"704" "Bra000704" 972
"705" "Bra000705" 417
"706" "Bra000706" 315
"707" "Bra000707" 1758
"708" "Bra000708" 843
"709" "Bra000709" 1026
"710" "Bra000710" 906
"711" "Bra000711" 627
"712" "Bra000712" 1056
"713" "Bra000713" 1053
"714" "Bra000714" 2724
"715" "Bra000715" 1020
"716" "Bra000716" 933
"717" "Bra000717" 1299
"718" "Bra000718" 1467
"719" "Bra000719" 3507
"720" "Bra000720" 1071
"721" "Bra000721" 1440
"722" "Bra000722" 255
"723" "Bra000723" 459
"724" "Bra000724" 1827
"725" "Bra000725" 537
"726" "Bra000726" 228
"727" "Bra000727" 1530
"728" "Bra000728" 492
"729" "Bra000729" 3555
"730" "Bra000730" 639
"731" "Bra000731" 894
"732" "Bra000732" 1083
"733" "Bra000733" 3618
"734" "Bra000734" 1119
"735" "Bra000735" 1545
"736" "Bra000736" 822
"737" "Bra000737" 1296
"738" "Bra000738" 3078
"739" "Bra000739" 804
"740" "Bra000740" 966
"741" "Bra000741" 1077
"742" "Bra000742" 927
"743" "Bra000743" 2949
"744" "Bra000744" 1977
"745" "Bra000745" 1353
"746" "Bra000746" 1938
"747" "Bra000747" 1674
"748" "Bra000748" 912
"749" "Bra000749" 951
"750" "Bra000750" 1110
"751" "Bra000751" 993
"752" "Bra000752" 1581
"753" "Bra000753" 2385
"754" "Bra000754" 1077
"755" "Bra000755" 825
"756" "Bra000756" 1413
"757" "Bra000757" 963
"758" "Bra000758" 3756
"759" "Bra000759" 3624
"760" "Bra000760" 1227
"761" "Bra000761" 2037
"762" "Bra000762" 1182
"763" "Bra000763" 1158
"764" "Bra000764" 669
"765" "Bra000765" 207
"766" "Bra000766" 1173
"767" "Bra000767" 1068
"768" "Bra000768" 1515
"769" "Bra000769" 1551
"770" "Bra000770" 978
"771" "Bra000772" 498
"772" "Bra000773" 1758
"773" "Bra000774" 2085
"774" "Bra000775" 501
"775" "Bra000776" 654
"776" "Bra000777" 402
"777" "Bra000778" 402
"778" "Bra000779" 2142
"779" "Bra000780" 1074
"780" "Bra000781" 387
"781" "Bra000782" 1623
"782" "Bra000783" 870
"783" "Bra000784" 609
"784" "Bra000785" 984
"785" "Bra000786" 564
"786" "Bra000787" 936
"787" "Bra000788" 2805
"788" "Bra000789" 2307
"789" "Bra000790" 387
"790" "Bra000791" 2871
"791" "Bra000792" 528
"792" "Bra000793" 1560
"793" "Bra000794" 1488
"794" "Bra000795" 1194
"795" "Bra000796" 1827
"796" "Bra000797" 1827
"797" "Bra000798" 828
"798" "Bra000799" 1971
"799" "Bra000800" 1950
"800" "Bra000801" 441
"801" "Bra000802" 1125
"802" "Bra000803" 2964
"803" "Bra000804" 348
"804" "Bra000805" 1365
"805" "Bra000806" 429
"806" "Bra000807" 1794
"807" "Bra000808" 2145
"808" "Bra000809" 2670
"809" "Bra000810" 1431
"810" "Bra000811" 537
"811" "Bra000812" 216
"812" "Bra000813" 279
"813" "Bra000814" 1473
"814" "Bra000815" 405
"815" "Bra000816" 978
"816" "Bra000817" 543
"817" "Bra000818" 960
"818" "Bra000819" 762
"819" "Bra000820" 2196
"820" "Bra000821" 543
"821" "Bra000822" 1134
"822" "Bra000823" 1335
"823" "Bra000824" 1725
"824" "Bra000825" 921
"825" "Bra000826" 1146
"826" "Bra000827" 2289
"827" "Bra000828" 687
"828" "Bra000829" 276
"829" "Bra000830" 501
"830" "Bra000831" 564
"831" "Bra000832" 1374
"832" "Bra000833" 207
"833" "Bra000834" 822
"834" "Bra000835" 996
"835" "Bra000836" 465
"836" "Bra000837" 696
"837" "Bra000838" 1365
"838" "Bra000839" 486
"839" "Bra000840" 873
"840" "Bra000841" 273
"841" "Bra000842" 1761
"842" "Bra000843" 1308
"843" "Bra000844" 1275
"844" "Bra000845" 1266
"845" "Bra000846" 2619
"846" "Bra000847" 960
"847" "Bra000848" 867
"848" "Bra000849" 1473
"849" "Bra000850" 597
"850" "Bra000851" 210
"851" "Bra000852" 252
"852" "Bra000853" 1362
"853" "Bra000854" 1230
"854" "Bra000855" 2310
"855" "Bra000856" 1047
"856" "Bra000857" 1329
"857" "Bra000858" 897
"858" "Bra000859" 897
"859" "Bra000860" 348
"860" "Bra000861" 525
"861" "Bra000862" 987
"862" "Bra000863" 1113
"863" "Bra000864" 2697
"864" "Bra000865" 1512
"865" "Bra000866" 1080
"866" "Bra000867" 396
"867" "Bra000868" 2496
"868" "Bra000869" 10728
"869" "Bra000870" 1143
"870" "Bra000871" 387
"871" "Bra000872" 930
"872" "Bra000873" 768
"873" "Bra000874" 2217
"874" "Bra000875" 642
"875" "Bra000876" 642
"876" "Bra000877" 1392
"877" "Bra000878" 3759
"878" "Bra000879" 633
"879" "Bra000880" 2040
"880" "Bra000881" 2028
"881" "Bra000882" 939
"882" "Bra000883" 1902
"883" "Bra000884" 285
"884" "Bra000885" 678
"885" "Bra000886" 549
"886" "Bra000887" 570
"887" "Bra000888" 1380
"888" "Bra000889" 1185
"889" "Bra000890" 540
"890" "Bra000891" 1557
"891" "Bra000892" 1089
"892" "Bra000893" 1620
"893" "Bra000894" 3000
"894" "Bra000895" 582
"895" "Bra000896" 4014
"896" "Bra000897" 2157
"897" "Bra000898" 1542
"898" "Bra000899" 417
"899" "Bra000900" 2127
"900" "Bra000901" 771
"901" "Bra000902" 1506
"902" "Bra000903" 1563
"903" "Bra000904" 1332
"904" "Bra000905" 693
"905" "Bra000906" 1026
"906" "Bra000907" 933
"907" "Bra000908" 591
"908" "Bra000909" 345
"909" "Bra000910" 417
"910" "Bra000911" 1461
"911" "Bra000912" 1350
"912" "Bra000913" 1953
"913" "Bra000914" 1182
"914" "Bra000915" 2949
"915" "Bra000916" 447
"916" "Bra000917" 318
"917" "Bra000918" 726
"918" "Bra000919" 858
"919" "Bra000920" 768
"920" "Bra000921" 381
"921" "Bra000922" 234
"922" "Bra000923" 1080
"923" "Bra000924" 240
"924" "Bra000925" 1032
"925" "Bra000926" 984
"926" "Bra000927" 690
"927" "Bra000928" 2256
"928" "Bra000929" 342
"929" "Bra000930" 1578
"930" "Bra000931" 1164
"931" "Bra000932" 876
"932" "Bra000933" 1587
"933" "Bra000934" 408
"934" "Bra000935" 1731
"935" "Bra000936" 2787
"936" "Bra000937" 2118
"937" "Bra000938" 582
"938" "Bra000939" 1272
"939" "Bra000940" 1506
"940" "Bra000941" 231
"941" "Bra000942" 966
"942" "Bra000943" 1803
"943" "Bra000944" 1062
"944" "Bra000945" 768
"945" "Bra000946" 375
"946" "Bra000947" 495
"947" "Bra000948" 1434
"948" "Bra000949" 3072
"949" "Bra000950" 1083
"950" "Bra000951" 1374
"951" "Bra000952" 2745
"952" "Bra000953" 795
"953" "Bra000954" 1275
"954" "Bra000955" 1122
"955" "Bra000956" 1218
"956" "Bra000957" 939
"957" "Bra000958" 1377
"958" "Bra000959" 1794
"959" "Bra000960" 354
"960" "Bra000961" 1407
"961" "Bra000962" 1476
"962" "Bra000963" 2919
"963" "Bra000964" 399
"964" "Bra000965" 1542
"965" "Bra000966" 261
"966" "Bra000967" 1863
"967" "Bra000968" 414
"968" "Bra000969" 1383
"969" "Bra000970" 1965
"970" "Bra000971" 1437
"971" "Bra000972" 6660
"972" "Bra000973" 2373
"973" "Bra000974" 867
"974" "Bra000975" 294
"975" "Bra000976" 1605
"976" "Bra000977" 825
"977" "Bra000978" 711
"978" "Bra000979" 558
"979" "Bra000980" 414
"980" "Bra000981" 1392
"981" "Bra000982" 249
"982" "Bra000983" 1434
"983" "Bra000984" 645
"984" "Bra000985" 426
"985" "Bra000986" 792
"986" "Bra000987" 2622
"987" "Bra000988" 807
"988" "Bra000989" 594
"989" "Bra000990" 2544
"990" "Bra000991" 378
"991" "Bra000992" 273
"992" "Bra000993" 2424
"993" "Bra000994" 1062
"994" "Bra000995" 411
"995" "Bra000996" 2499
"996" "Bra000997" 1377
"997" "Bra000998" 1083
"998" "Bra000999" 2502
"999" "Bra001000" 2112
"1000" "Bra001001" 1929
"1001" "Bra001002" 582
"1002" "Bra001003" 1146
"1003" "Bra001004" 1911
"1004" "Bra001005" 627
"1005" "Bra001006" 1065
"1006" "Bra001007" 267
"1007" "Bra001008" 2454
"1008" "Bra001009" 861
"1009" "Bra001010" 831
"1010" "Bra001011" 1416
"1011" "Bra001012" 1317
"1012" "Bra001013" 387
"1013" "Bra001014" 600
"1014" "Bra001015" 381
"1015" "Bra001016" 441
"1016" "Bra001017" 759
"1017" "Bra001018" 351
"1018" "Bra001019" 162
"1019" "Bra001020" 1638
"1020" "Bra001021" 2142
"1021" "Bra001022" 1506
"1022" "Bra001023" 3195
"1023" "Bra001024" 357
"1024" "Bra001025" 1593
"1025" "Bra001026" 957
"1026" "Bra001027" 1428
"1027" "Bra001028" 432
"1028" "Bra001029" 1059
"1029" "Bra001030" 1146
"1030" "Bra001031" 822
"1031" "Bra001032" 1617
